hash	date	scope	subject	what_broke	silent	how_noticed	regression	note
58fa94a4	2026-09-26	hitofude	fix(hitofude): 曲の出だしを自然な入りからにし、途中から鳴らすときのプチ音を消す	音・声	yes	不明	unknown	曲が本編途中から始まり音が切れて聞こえた
dde38adc	2026-09-26	hitofude	fix(hitofude): 開始直後に2曲重なるのを直し、BGM を下げ、音のエラーでゲームが止まらないようにする	音・声	unknown	不明	unknown	読み込み中に合成曲と本曲が重なり2曲に聞こえた＋音エラーでフリーズ
cf310e19	2026-09-26	hitofude	fix(hitofude): 爆発の音が鳴るあいだ BGM を下げ、爆発の音も小さくする	音・声	yes	不明	no	爆発音とBGMの音量バランス調整
5bdb7e21	2026-09-26	ehon	fix(ehon): ひとり歓迎マップの施設の札から、閉店した美々卯を外す	事実・データの誤り	yes	不明	unknown	閉店済み(2020)の東京美々卯を札に載せ、一文は大阪の店のものだった
2f915300	2026-09-26	ehon-about	fix(ehon-about): 数字を14ページ・12の世界にそろえ、いきものと頁の説明を実物に合わせる	事実・データの誤り	yes	別エージェントのレビュー	unknown	説明ページの数字(13頁/11世界/numberOfPages21)が実物14/12と食い違い、動画の事実確認で指摘
e677b1ca	2026-09-24	ehon	fix(ehon): めくりをゆっくり自然にし、静かな動きを穏やかな動きに変える	見た目の質（デザイン・演出）	yes	不明	no	ページめくりの速度・静かな動きの調整
4ba976b6	2026-09-24	ehon	fix(ehon): 同じ素材の静止メッシュをまとめ、遅い端末でも 60fps で描く	性能	yes	機械の検査・テスト	no	遅い端末で32fps。計測で判明しメッシュ統合
13a2f349	2026-09-24	feel	fix(feel): 最終レビューの指摘を直す	操作・ゲームのロジック	yes	別エージェントのレビュー	unknown	最終レビュー指摘: 0人カウンタ・見えないスタンプが押せる・下書き残存・Safari
b9a89e18	2026-09-24	feel	fix(feel): 「試してみる」の絵文字をカラーで出す	表示・レイアウト	yes	不明	unknown	絵文字がU+FE0F無しで白黒表示
57acc705	2026-09-24	feel	fix(feel): 小型のはがきは置かれた枠いっぱいに広げる	表示・レイアウト	yes	不明	unknown	はがきがスマホで201pxまで細くなる
